STUDY_ID,STUDY_TEXT,SUBJECT_ID,SUBJECT_TEXT,SEMESTER_TEXT
657,De kemiske fag,Anvendt Spektroskopi (AnvSpek) KEMI,Anvendt Spektroskopi (AnvSpek) KEMI,Bach.1.år blok 4
657,De kemiske fag,Kemisk binding (KemiBin) KEMI,Kemisk binding (KemiBin) KEMI,Bach.1.år blok 4
657,De kemiske fag,Advanced Quantum Chemistry (KemiVK) KEMI,Advanced Quantum Chemistry (KemiVK) KEMI,Bachelor blok 4
657,De kemiske fag,Grundkursus i de naturvidenskabelige fags.. KEMI,Grundkursus i de naturvidenskabelige fags.. KEMI,Bachelor blok 4
657,De kemiske fag,Molekylær statistik (MolStat) KEMI,Molekylær statistik (MolStat) KEMI,Kandidat blok 4
426,Environmental & Natural Resource Economics,Economic Valuation Methods & Cost-Benefit - env.na,Economic Valuation Methods & Cost-Benefit - env.na,Kandidat blok 3
426,Environmental & Natural Resource Economics,Incentives and Regulation - env.nat rec,Incentives and Regulation - env.nat rec,Kandidat blok 3
426,Environmental & Natural Resource Economics,Applied Environmental and Natural Resource Env. na,Applied Environmental and Natural Resource Env. na,Kandidat blok 4
445,Environmental Science,Climate change mechanisms and tipping points agron,Climate change mechanisms and tipping points agron,Kandidat blok 3
445,Environmental Science,Environmental Epidemiology,Environmental Epidemiology,Kandidat blok 3
445,Environmental Science,Experimental Design and Statistical Methods env sc,Experimental Design and Statistical Methods env sc,Kandidat blok 3
445,Environmental Science,Geographical Information Systems (GIS) env. sci,Geographical Information Systems (GIS) env. sci,Kandidat blok 3
445,Environmental Science,Global Environmental Governance-env. sci.,Global Environmental Governance-env. sci.,Kandidat blok 3
445,Environmental Science,Natural Resource Sampling and Modelling-env.sci,Natural Resource Sampling and Modelling-env.sci,Kandidat blok 3
445,Environmental Science,The Economics of climate change - env. sci.,The Economics of climate change - env. sci.,Kandidat blok 3
445,Environmental Science,Ecological Modelling - env sci,Ecological Modelling - env sci,Kandidat blok 4
445,Environmental Science,Energy Systems and Climate Mitigation - ENV- SCI,Energy Systems and Climate Mitigation - ENV- SCI,Kandidat blok 4
445,Environmental Science,Invasion Biology env sci,Invasion Biology env sci,Kandidat blok 4
445,Environmental Science,Terrestrial Ecosystem Processes and Glob -env. sci,Terrestrial Ecosystem Processes and Glob -env. sci,Kandidat blok 4
427,Food Science & Technology,Brewing Process and Technology,Brewing Process and Technology,Kandidat blok 3
427,Food Science & Technology,Brewing Project in Practice - FOOD,Brewing Project in Practice - FOOD,Kandidat blok 3
427,Food Science & Technology,Beer and Packaging Technology,Beer and Packaging Technology,Kandidat blok 4
427,Food Science & Technology,Brewing Project in Practice - FOOD,Brewing Project in Practice - FOOD,Kandidat blok 4
427,Food Science & Technology,Cool Climate Viticulture and Enology - FOOD,Cool Climate Viticulture and Enology - FOOD,Kandidat blok 4
428,Forest & Nature Management,Economic Valuation Methods & Cost-Benefit - forest,Economic Valuation Methods & Cost-Benefit - forest,Kandidat blok 3
428,Forest & Nature Management,Global Environmental Governance-forest,Global Environmental Governance-forest,Kandidat blok 3
428,Forest & Nature Management,Natural Resource Sampling and Modelling,Natural Resource Sampling and Modelling,Kandidat blok 3
428,Forest & Nature Management,Project Management - La,Project Management - La,Kandidat blok 3
428,Forest & Nature Management,The Economics of climate change- Forest,The Economics of climate change- Forest,Kandidat blok 3
659,Forsikringsmatematik,Analyse 1 (An1) FORSIKRING,Analyse 1 (An1) FORSIKRING,Bach.1.år blok 4
659,Forsikringsmatematik,Forsikring og jura (Forsik&Jura1) FORSIKRING,Forsikring og jura (Forsik&Jura1) FORSIKRING,Bach.1.år blok 4
659,Forsikringsmatematik,Basic Non-Life Insurance Mathematics (Skade1) MAT,Basic Non-Life Insurance Mathematics (Skade1) MAT,Bach.2.år blok 4
659,Forsikringsmatematik,Matematisk statistik (MatStat) FORSIKRING,Matematisk statistik (MatStat) FORSIKRING,Bach.2.år blok 4
401,Fødevarer og ernæring,Grundlæggende celle- og molekylærbiologi - fødevar,Grundlæggende celle- og molekylærbiologi - fødevar,Bach.1.år blok 3
401,Fødevarer og ernæring,Organisk Kemi for biovidenskab - føde ern,Organisk Kemi for biovidenskab - føde ern,Bach.1.år blok 3
401,Fødevarer og ernæring,Fødevarefremstilling og ernæring - fødevare-ern.,Fødevarefremstilling og ernæring - fødevare-ern.,Bach.1.år blok 4
401,Fødevarer og ernæring,Exploratory Data Analysis / Chemometrics,Exploratory Data Analysis / Chemometrics,Bach.2.år blok 3
401,Fødevarer og ernæring,Råvarekvalitet - fødevare,Råvarekvalitet - fødevare,Bach.2.år blok 3
401,Fødevarer og ernæring,Fødevarekemi,Fødevarekemi,Bach.2.år blok 4
401,Fødevarer og ernæring,Fødevarevidenskabsteori fød ern,Fødevarevidenskabsteori fød ern,Bach.2.år blok 4
401,Fødevarer og ernæring,"Sundhed,ernæring og livskvalitet A føde-ern","Sundhed,ernæring og livskvalitet A føde-ern",Bach.3.år blok 3
401,Fødevarer og ernæring,Analytical Chemistry - fød. ern,Analytical Chemistry - fød. ern,Bachelor blok 3
401,Fødevarer og ernæring,Indledende økonomi - fødevare,Indledende økonomi - fødevare,Bachelor blok 3
401,Fødevarer og ernæring,MIkrobiologi - føde ern.,MIkrobiologi - føde ern.,Bachelor blok 3
401,Fødevarer og ernæring,"Sygdomslære, og farmakologi - fødevare","Sygdomslære, og farmakologi - fødevare",Bachelor blok 3
401,Fødevarer og ernæring,Anvendt spektroskopi ( AnvSPEK) fødevare. ern,Anvendt spektroskopi ( AnvSPEK) fødevare. ern,Bachelor blok 4
715,Geografi & geoinformatik,By og regional udvikling,By og regional udvikling,"1. år, 3. blok"
715,Geografi & geoinformatik,Problemorienteret projektarbejde,Problemorienteret projektarbejde,"2. år, 3. blok"
715,Geografi & geoinformatik,Kulturgeografisk feltkursus,Kulturgeografisk feltkursus,Bach.1.år blok 4
715,Geografi & geoinformatik,Grundkursus i de naturvidenskabelige fags.. GEO,Grundkursus i de naturvidenskabelige fags.. GEO,Bachelor blok 4
715,Geografi & geoinformatik,Introduktion til remote sensing,Introduktion til remote sensing,Valgfag
716,Geologi & geoscience,Danmarks geologiske udvikling,Danmarks geologiske udvikling,"1. år, 4. blok"
716,Geologi & geoscience,Geologiske kort og strukturer,Geologiske kort og strukturer,"2. år, 4. blok"
716,Geologi & geoscience,Anvendt geofysik i geoscience,Anvendt geofysik i geoscience,Bach.1.år blok 4
