fetch_date,semester_id,semester_text,university_id,university_text,study_id,study_text,subject_id,subject_text,isbn
2024-04-29T16:57:18.896Z,10200,Kandidat Valgfag,6273789,CBS - Copenhagen Business School,119,Cand.merc.jur.,CJURV2102U Strategisk kontrahering i et internatio,CJURV2102U Strategisk kontrahering i et internatio,9788742000564
2024-04-29T16:57:18.896Z,10201,Kandidat Valgfag,6273789,CBS - Copenhagen Business School,120,Cand.merc.mat.,CMATV1014U Kreditrisiko - modeller med anvendelser,CMATV1014U Kreditrisiko - modeller med anvendelser,9780691089294
2024-04-29T16:57:18.896Z,10201,Kandidat Valgfag,6273789,CBS - Copenhagen Business School,120,Cand.merc.mat.,CMECV1022U Statistisk analyse af finansielle data,CMECV1022U Statistisk analyse af finansielle data,9781493926138
2024-04-29T16:57:18.896Z,10555,2. semester,6273789,CBS - Copenhagen Business School,157,Cand.merc.psyk,CM PSYK Organisationsudvikling i praksis,CM PSYK Organisationsudvikling i praksis,9788763447874
2024-04-29T16:57:18.896Z,10221,2. semester,6273789,CBS - Copenhagen Business School,102,HA (it.),HA IT IT projektledelse,HA IT IT projektledelse,9780077122799
2024-04-29T16:57:18.896Z,10221,2. semester,6273789,CBS - Copenhagen Business School,102,HA (it.),HA IT IT projektledelse,HA IT IT projektledelse,9788757459302
2024-04-29T16:57:18.896Z,10221,2. semester,6273789,CBS - Copenhagen Business School,102,HA (it.),HA IT VØS 2 Regnskabsvæsen,HA IT VØS 2 Regnskabsvæsen,9781292439426
2024-04-29T16:57:18.896Z,10221,2. semester,6273789,CBS - Copenhagen Business School,102,HA (it.),HA IT VØS 2 Regnskabsvæsen,HA IT VØS 2 Regnskabsvæsen,9788712070603
2024-04-29T16:57:18.896Z,10111,4. semester,6273789,CBS - Copenhagen Business School,102,HA (it.),HA IT Analyse & design af brugervenlige informatio,HA IT Analyse & design af brugervenlige informatio,9781292155517
2024-04-29T16:57:18.896Z,10111,4. semester,6273789,CBS - Copenhagen Business School,102,HA (it.),HA IT Analyse & design af brugervenlige informatio,HA IT Analyse & design af brugervenlige informatio,9788797069301
2024-04-29T16:57:18.896Z,10111,4. semester,6273789,CBS - Copenhagen Business School,102,HA (it.),HA IT IT-strategi,HA IT IT-strategi,9788759327302
2024-04-29T16:57:18.896Z,10111,4. semester,6273789,CBS - Copenhagen Business School,102,HA (it.),HA IT VØS 4 Virksomhedens Interne Økonomiske Org.,HA IT VØS 4 Virksomhedens Interne Økonomiske Org.,9781447083535
2024-04-29T16:57:18.896Z,10112,6. semester,6273789,CBS - Copenhagen Business School,102,HA (it.),HA IT IT kontrakter BINTU3001U,HA IT IT kontrakter BINTU3001U,9788742000502
2024-04-29T16:57:18.896Z,10112,6. semester,6273789,CBS - Copenhagen Business School,102,HA (it.),HA IT Videnskabsteori,HA IT Videnskabsteori,9781529732696
2024-04-29T16:57:18.896Z,10228,2. semester,6273789,CBS - Copenhagen Business School,154,HA Europæisk business,HA EB Strategic management,HA EB Strategic management,9781119815235
2024-04-29T16:57:18.896Z,10523,2. semester.,6273789,CBS - Copenhagen Business School,154,HA Europæisk business,HA EB Danmark i et komparativt perspektiv,HA EB Danmark i et komparativt perspektiv,9788741263199
2024-04-29T16:57:18.896Z,10204,4. semester,6273789,CBS - Copenhagen Business School,154,HA Europæisk business,HA EB Finansiering,HA EB Finansiering,9781398906631
2024-04-29T16:57:18.896Z,10204,4. semester,6273789,CBS - Copenhagen Business School,154,HA Europæisk business,HA EB Finansiering,HA EB Finansiering,9788763447768
2024-04-29T16:57:18.896Z,10204,4. semester,6273789,CBS - Copenhagen Business School,154,HA Europæisk business,HA EB Internationalisering & kvalitativ metode,HA EB Internationalisering & kvalitativ metode,9781292274157
